areaCode,areaName,areaType,date,newCasesBySpecimenDateRollingSum
E12000001,North East,region,2022-07-17,6164
E12000001,North East,region,2022-07-16,6412
E12000001,North East,region,2022-07-15,6599
E12000001,North East,region,2022-07-14,6793
E12000001,North East,region,2022-07-13,6930
E12000001,North East,region,2022-07-12,7054
E12000001,North East,region,2022-07-11,7106
E12000001,North East,region,2022-07-10,7194
E12000001,North East,region,2022-07-09,7240
E12000001,North East,region,2022-07-08,7242
E12000001,North East,region,2022-07-07,7180
E12000001,North East,region,2022-07-06,7083
E12000001,North East,region,2022-07-05,6900
E12000001,North East,region,2022-07-04,6786
E12000001,North East,region,2022-07-03,6505
E12000001,North East,region,2022-07-02,6390
E12000001,North East,region,2022-07-01,6281
E12000001,North East,region,2022-06-30,6233
E12000001,North East,region,2022-06-29,6131
E12000001,North East,region,2022-06-28,6034
E12000001,North East,region,2022-06-27,5933
E12000001,North East,region,2022-06-26,5867
E12000001,North East,region,2022-06-25,5705
E12000001,North East,region,2022-06-24,5522
E12000001,North East,region,2022-06-23,5326
E12000001,North East,region,2022-06-22,5120
E12000001,North East,region,2022-06-21,4952
E12000001,North East,region,2022-06-20,4692
E12000001,North East,region,2022-06-19,4498
E12000001,North East,region,2022-06-18,4331
E12000001,North East,region,2022-06-17,4223
E12000001,North East,region,2022-06-16,4050
E12000001,North East,region,2022-06-15,3957
E12000001,North East,region,2022-06-14,3847
E12000001,North East,region,2022-06-13,3638
E12000001,North East,region,2022-06-12,3458
E12000001,North East,region,2022-06-11,3300
E12000001,North East,region,2022-06-10,3178
E12000001,North East,region,2022-06-09,2994
E12000001,North East,region,2022-06-08,2738
E12000001,North East,region,2022-06-07,2447
E12000001,North East,region,2022-06-06,2222
E12000001,North East,region,2022-06-05,1987
E12000001,North East,region,2022-06-04,1795
E12000001,North East,region,2022-06-03,1683
E12000001,North East,region,2022-06-02,1640
E12000001,North East,region,2022-06-01,1645
E12000001,North East,region,2022-05-31,1681
E12000001,North East,region,2022-05-30,1710
E12000001,North East,region,2022-05-29,1737
E12000001,North East,region,2022-05-28,1817
E12000001,North East,region,2022-05-27,1841
E12000001,North East,region,2022-05-26,1870
E12000001,North East,region,2022-05-25,1947
E12000001,North East,region,2022-05-24,1992
E12000001,North East,region,2022-05-23,2081
E12000001,North East,region,2022-05-22,2184
E12000001,North East,region,2022-05-21,2268
E12000001,North East,region,2022-05-20,2343
E12000001,North East,region,2022-05-19,2414
E12000001,North East,region,2022-05-18,2433
E12000001,North East,region,2022-05-17,2481
E12000001,North East,region,2022-05-16,2593
E12000001,North East,region,2022-05-15,2725
E12000001,North East,region,2022-05-14,2720
E12000001,North East,region,2022-05-13,2779
E12000001,North East,region,2022-05-12,2863
E12000001,North East,region,2022-05-11,3026
E12000001,North East,region,2022-05-10,3231
E12000001,North East,region,2022-05-09,3415
E12000001,North East,region,2022-05-08,3474
E12000001,North East,region,2022-05-07,3505
