areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByPublishDate
E92000001,England,nation,2022-03-20,0,0
E92000001,England,nation,2022-03-19,0,0
E92000001,England,nation,2022-03-18,68492,95
E92000001,England,nation,2022-03-17,75681,100
E92000001,England,nation,2022-03-16,76366,116
E92000001,England,nation,2022-03-15,64313,168
E92000001,England,nation,2022-03-14,163954,125
E92000001,England,nation,2022-03-13,0,0
E92000001,England,nation,2022-03-12,0,0
E92000001,England,nation,2022-03-11,55883,87
E92000001,England,nation,2022-03-10,52722,95
E92000001,England,nation,2022-03-09,51378,95
E92000001,England,nation,2022-03-08,44918,172
E92000001,England,nation,2022-03-07,95324,107
E92000001,England,nation,2022-03-06,0,0
E92000001,England,nation,2022-03-05,0,0
E92000001,England,nation,2022-03-04,31776,80
E92000001,England,nation,2022-03-03,32858,144
E92000001,England,nation,2022-03-02,32077,42
E92000001,England,nation,2022-03-01,26711,158
